Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
DAN 32100 - Composition I ,DAN,DAN 32100 , Composition I ,32100 ,Dance
DAN 32400 - Production I ,DAN,DAN 32400 , Production I ,32400 ,Dance
DAN 42100 - Composition II ,DAN,DAN 42100 , Composition II ,42100 ,Dance
DAN 42200 - Choreographic Projects ,DAN,DAN 42200 , Choreographic Projects ,42200 ,Dance
DAN 42400 - Production II ,DAN,DAN 42400 , Production II ,42400 ,Dance
DAN 43200 - Repertory I ,DAN,DAN 43200 , Repertory I ,43200 ,Dance
DAN 43300 - Repertory II ,DAN,DAN 43300 , Repertory II ,43300 ,Dance
DAN 44000 - Lecture/Demonstration Touring Group ,DAN,DAN 44000 , Lecture/Demonstration Touring Group ,44000 ,Dance
DAN 10100 - Fundamentals of Contemporary Dance Technique ,DAN,DAN 10100 , Fundamentals of Contemporary Dance Technique ,10100 ,Dance
DAN 14500 - Fundamentals of Ballet ,DAN,DAN 14500 , Fundamentals of Ballet ,14500 ,Dance
DAN 15100 - Folk Forms of Dance I ,DAN,DAN 15100 , Folk Forms of Dance I ,15100 ,Dance
DAN 21000 - Contemporary Dance Technique I ,DAN,DAN 21000 , Contemporary Dance Technique I ,21000 ,Dance
DAN 22000 - Contemporary Dance Technique II ,DAN,DAN 22000 , Contemporary Dance Technique II ,22000 ,Dance
DAN 24500 - Ballet I ,DAN,DAN 24500 , Ballet I ,24500 ,Dance
DAN 25100 - Folk Forms of Dance II ,DAN,DAN 25100 , Folk Forms of Dance II ,25100 ,Dance
DAN 25200 - Special Topics: Traditional Dance I ,DAN,DAN 25200 , Special Topics: Traditional Dance I ,25200 ,Dance
DAN 31000 - Contemporary Dance Technique III ,DAN,DAN 31000 , Contemporary Dance Technique III ,31000 ,Dance
DAN 32000 - Contemporary Dance Technique IV ,DAN,DAN 32000 , Contemporary Dance Technique IV ,32000 ,Dance
DAN 34500 - Ballet II ,DAN,DAN 34500 , Ballet II ,34500 ,Dance
DAN 35200 - Special Topics: Traditional Dance II ,DAN,DAN 35200 , Special Topics: Traditional Dance II ,35200 ,Dance
DAN 44500 - Ballet III ,DAN,DAN 44500 , Ballet III ,44500 ,Dance
"DAN 10200 - Dance, Dancers and the Audience ",DAN,DAN 10200 ," Dance, Dancers and the Audience ",10200 ,Dance
DAN 21300 - Basic Musicianship for Dancers ,DAN,DAN 21300 , Basic Musicianship for Dancers ,21300 ,Dance
DAN 23200 - 20th-Century Dance History ,DAN,DAN 23200 , 20th-Century Dance History ,23200 ,Dance
DAN 35000 - Anatomy and Kinesiology for Dancers ,DAN,DAN 35000 , Anatomy and Kinesiology for Dancers ,35000 ,Dance
DAN 46100 - Seminar in Dance ,DAN,DAN 46100 , Seminar in Dance ,46100 ,Dance
DAN 48000 - Independent Study in Dance ,DAN,DAN 48000 , Independent Study in Dance ,48000 ,Dance
DAN 49000 - Honors in Dance ,DAN,DAN 49000 , Honors in Dance ,49000 ,Dance
DAN 49800 - Internship ,DAN,DAN 49800 , Internship ,49800 ,Dance
ECO 10000 - Introduction to Economics ,ECO,ECO 10000 , Introduction to Economics ,10000 ,Economics
ECO 19600 - Special Topics in Economics ,ECO,ECO 19600 , Special Topics in Economics ,19600 ,Economics
ECO 20000 - Principles of Microeconomics ,ECO,ECO 20000 , Principles of Microeconomics ,20000 ,Economics
ECO 20100 - Principles of Macroeconomics ,ECO,ECO 20100 , Principles of Macroeconomics ,20100 ,Economics
ECO 22000 - Techniques of Economic Analysis ,ECO,ECO 22000 , Techniques of Economic Analysis ,22000 ,Economics
ECO 22100 - Economic Statistics ,ECO,ECO 22100 , Economic Statistics ,22100 ,Economics
ECO 29600 - Special Topics in Economics ,ECO,ECO 29600 , Special Topics in Economics ,29600 ,Economics
ECO 21000 - Money and Banking ,ECO,ECO 21000 , Money and Banking ,21000 ,Economics
ECO 23300 - Economics of the Media ,ECO,ECO 23300 , Economics of the Media ,23300 ,Economics
ECO 26000 - Business Organization and Management ,ECO,ECO 26000 , Business Organization and Management ,26000 ,Economics
ECO 29500 - Selected Topics in Economics ,ECO,ECO 29500 , Selected Topics in Economics ,29500 ,Economics
ECO 30000 - Intermediate Microeconomics ,ECO,ECO 30000 , Intermediate Microeconomics ,30000 ,Economics
ECO 30100 - Intermediate Macroeconomics ,ECO,ECO 30100 , Intermediate Macroeconomics ,30100 ,Economics
ECO 31000 - Financial Institutions ,ECO,ECO 31000 , Financial Institutions ,31000 ,Economics
ECO 31500 - Public Finance ,ECO,ECO 31500 , Public Finance ,31500 ,Economics
ECO 32100 - Introduction to Econometrics ,ECO,ECO 32100 , Introduction to Econometrics ,32100 ,Economics
ECO 33000 - Economic Development ,ECO,ECO 33000 , Economic Development ,33000 ,Economics
ECO 33700 - Mathematical Foundations of Economics ,ECO,ECO 33700 , Mathematical Foundations of Economics ,33700 ,Economics
ECO 33900 - Strategies and Games in Economics ,ECO,ECO 33900 , Strategies and Games in Economics ,33900 ,Economics
ECO 34000 - International Trade ,ECO,ECO 34000 , International Trade ,34000 ,Economics
ECO 34100 - International Finance ,ECO,ECO 34100 , International Finance ,34100 ,Economics
ECO 34500 - Women and Men in the Labor Market ,ECO,ECO 34500 , Women and Men in the Labor Market ,34500 ,Economics
ECO 35000 - Comparative Economic Systems ,ECO,ECO 35000 , Comparative Economic Systems ,35000 ,Economics
ECO 35500 - Business Strategy & Industrial Organization ,ECO,ECO 35500 , Business Strategy & Industrial Organization ,35500 ,Economics
ECO 35600 - Business and Public Policy ,ECO,ECO 35600 , Business and Public Policy ,35600 ,Economics
ECO 36000 - Managerial Economics ,ECO,ECO 36000 , Managerial Economics ,36000 ,Economics
ECO 36500 - Corporate Finance ,ECO,ECO 36500 , Corporate Finance ,36500 ,Economics
ECO 36600 - Security and Investment Analysis ,ECO,ECO 36600 , Security and Investment Analysis ,36600 ,Economics
ECO 37000 - Law and Economics ,ECO,ECO 37000 , Law and Economics ,37000 ,Economics
ECO 39000 - Independent Study in Economics ,ECO,ECO 39000 , Independent Study in Economics ,39000 ,Economics
ECO 39500 - Selected Topics in Economics ,ECO,ECO 39500 , Selected Topics in Economics ,39500 ,Economics
ECO 42600 - Computer Applications in Economics ,ECO,ECO 42600 , Computer Applications in Economics ,42600 ,Economics
ECO 49500 - Selected Topics in Economics ,ECO,ECO 49500 , Selected Topics in Economics ,49500 ,Economics
ECO 49600 - Honors Seminar in Economics ,ECO,ECO 49600 , Honors Seminar in Economics ,49600 ,Economics
ECO 49800 - Internship in Economics of Accounting ,ECO,ECO 49800 , Internship in Economics of Accounting ,49800 ,Economics
ECO 49900 - Honors Project ,ECO,ECO 49900 , Honors Project ,49900 ,Economics
ACC 22500 - Survey of Accounting ,ACC,ACC 22500 , Survey of Accounting ,22500 ,Accounting
ACC 23000 - Essentials of Business Law ,ACC,ACC 23000 , Essentials of Business Law ,23000 ,Accounting
ACC 27100 - Accounting I ,ACC,ACC 27100 , Accounting I ,27100 ,Accounting
ACC 27200 - Accounting II ,ACC,ACC 27200 , Accounting II ,27200 ,Accounting
ACC 28000 - Business Law I ,ACC,ACC 28000 , Business Law I ,28000 ,Accounting
ACCP 36700 - Analysis of Financial Statements ,ACCP,ACCP 36700 , Analysis of Financial Statements ,36700 ,Accounting
ACCP 37100 - Intermediate Accounting I ,ACCP,ACCP 37100 , Intermediate Accounting I ,37100 ,Accounting
ACCP 37200 - Intermediate Accounting II ,ACCP,ACCP 37200 , Intermediate Accounting II ,37200 ,Accounting
ACCP 37300 - Federal Income Taxation ,ACCP,ACCP 37300 , Federal Income Taxation ,37300 ,Accounting
ACCP 37400 - Managerial Accounting (Cost Accounting) ,ACCP,ACCP 37400 , Managerial Accounting (Cost Accounting) ,37400 ,Accounting
ACCP 38000 - Business Law II ,ACCP,ACCP 38000 , Business Law II ,38000 ,Accounting
ACCP 47100 - Advanced Accounting I ,ACCP,ACCP 47100 , Advanced Accounting I ,47100 ,Accounting
ACCP 47200 - Advanced Accounting II ,ACCP,ACCP 47200 , Advanced Accounting II ,47200 ,Accounting
ACCP 47300 - Business Taxes ,ACCP,ACCP 47300 , Business Taxes ,47300 ,Accounting
ACCP 47500 - Auditing ,ACCP,ACCP 47500 , Auditing ,47500 ,Accounting
ACCP 47600 - Computer Accounting Systems ,ACCP,ACCP 47600 , Computer Accounting Systems ,47600 ,Accounting
ACCP 48000 - Business Law III ,ACCP,ACCP 48000 , Business Law III ,48000 ,Accounting
ACCP 49000 - Accounting & Auditing Research ,ACCP,ACCP 49000 , Accounting & Auditing Research ,49000 ,Accounting
ECO 30500 - Development of Economic Thought ,ECO,ECO 30500 , Development of Economic Thought ,30500 ,Economics
ECO 33100 - Economic History ,ECO,ECO 33100 , Economic History ,33100 ,Economics
ECO 33600 - Regional Economics ,ECO,ECO 33600 , Regional Economics ,33600 ,Economics
ECO 34600 - The Labor Movement ,ECO,ECO 34600 , The Labor Movement ,34600 ,Economics
ECO 35200 - Economics of the Caribbean ,ECO,ECO 35200 , Economics of the Caribbean ,35200 ,Economics
ECO 42100 - Econometrics ,ECO,ECO 42100 , Econometrics ,42100 ,Economics
SEDC 21000 - Building the Foundations of Literacy in Grades 7-12 ,SEDC,SEDC 21000 , Building the Foundations of Literacy in Grades 7-12 ,21000 ,Education
SEDCP 21100 - Young Adult Literature in Our Diverse Society ,SEDCP,SEDCP 21100 , Young Adult Literature in Our Diverse Society ,21100 ,Education
"SEDCP 21200 - Methods I: Foundations of Literacy, Language and Learning in the Foreign/Heritage Language Classroom, Grades 7-12 ",SEDCP,SEDCP 21200 ," Methods I: Foundations of Literacy, Language and Learning in the Foreign/Heritage Language Classroom, Grades 7-12 ",21200 ,Education
"SEDCP 21300 - Methods I: Classroom Organization, Management and Instruction in Mathematics and Science, Grades 7-12 ",SEDCP,SEDCP 21300 ," Methods I: Classroom Organization, Management and Instruction in Mathematics and Science, Grades 7-12 ",21300 ,Education
"SEDCP 21500 - Methods I: Classroom Organization, Management, and Instruction in Social Studies, Grades 7-12 ",SEDCP,SEDCP 21500 ," Methods I: Classroom Organization, Management, and Instruction in Social Studies, Grades 7-12 ",21500 ,Education
SEDCP 22000 - Adolescent Health and Safety ,SEDCP,SEDCP 22000 , Adolescent Health and Safety ,22000 ,Education
SEDCP 32100 - Teaching English Methods to a Diverse Population in Grades 7-12 ,SEDCP,SEDCP 32100 , Teaching English Methods to a Diverse Population in Grades 7-12 ,32100 ,Education
"SEDCP 32200 - Methods II: Instructional Planning for Literacy, Language, and Learning in the Foreign/Heritage Language Classroom, Grades 7-12 ",SEDCP,SEDCP 32200 ," Methods II: Instructional Planning for Literacy, Language, and Learning in the Foreign/Heritage Language Classroom, Grades 7-12 ",32200 ,Education
"SEDCP 32300 - Methods II: Teaching Diverse Learners in Mathematics, Grades 7-12 ",SEDCP,SEDCP 32300 ," Methods II: Teaching Diverse Learners in Mathematics, Grades 7-12 ",32300 ,Education
"SEDCP 32400 - Methods II: Teaching Diverse Learners Science, Grades 7-12 ",SEDCP,SEDCP 32400 ," Methods II: Teaching Diverse Learners Science, Grades 7-12 ",32400 ,Education
"SEDCP 32500 - Methods II: Teaching Diverse Learners in Social Studies, Grades 7-12 ",SEDCP,SEDCP 32500 ," Methods II: Teaching Diverse Learners in Social Studies, Grades 7-12 ",32500 ,Education
SEDCP 34100 - Adolescent Fieldwork ,SEDCP,SEDCP 34100 , Adolescent Fieldwork ,34100 ,Education
"SEDCP 45100 - Student Teaching in English, Grades 7-12 ",SEDCP,SEDCP 45100 ," Student Teaching in English, Grades 7-12 ",45100 ,Education
"SEDCP 45210 - Student Teaching in Chinese, Grades 7-12 ",SEDCP,SEDCP 45210 ," Student Teaching in Chinese, Grades 7-12 ",45210 ,Education
"SEDCP 45220 - Student Teaching in French, Grades 7-12 ",SEDCP,SEDCP 45220 ," Student Teaching in French, Grades 7-12 ",45220 ,Education
"SEDCP 45230 - Student Teaching in German, Grades 7-12 ",SEDCP,SEDCP 45230 ," Student Teaching in German, Grades 7-12 ",45230 ,Education
"SEDCP 45250 - Student Teaching in Hebrew, Grades 7-12 ",SEDCP,SEDCP 45250 ," Student Teaching in Hebrew, Grades 7-12 ",45250 ,Education
"SEDCP 45260 - Student Teaching in Italian, Grades 7-12 ",SEDCP,SEDCP 45260 ," Student Teaching in Italian, Grades 7-12 ",45260 ,Education
"SEDCP 45270 - Student Teaching in Russian, Grades 7-12 ",SEDCP,SEDCP 45270 ," Student Teaching in Russian, Grades 7-12 ",45270 ,Education
"SEDCP 45280 - Student Teaching in Spanish, Grades 7-12 ",SEDCP,SEDCP 45280 ," Student Teaching in Spanish, Grades 7-12 ",45280 ,Education
"SEDCP 45300 - Student Teaching in Mathematics, Grades 7-12 ",SEDCP,SEDCP 45300 ," Student Teaching in Mathematics, Grades 7-12 ",45300 ,Education
"SEDCP 45410 - Student Teaching in Biology, Grades 7-12 ",SEDCP,SEDCP 45410 ," Student Teaching in Biology, Grades 7-12 ",45410 ,Education
"SEDCP 45420 - Student Teaching in Chemistry, Grades 7-12 ",SEDCP,SEDCP 45420 ," Student Teaching in Chemistry, Grades 7-12 ",45420 ,Education
"SEDCP 45430 - Student Teaching in Physics, Grades 7-12 ",SEDCP,SEDCP 45430 ," Student Teaching in Physics, Grades 7-12 ",45430 ,Education
"SEDCP 45500 - Student Teaching in Social Studies, Grades 7-12 ",SEDCP,SEDCP 45500 ," Student Teaching in Social Studies, Grades 7-12 ",45500 ,Education
"SEDF 20300 - Social Foundations of Education, Grades 7-12  ",SEDF,SEDF 20300 ," Social Foundations of Education, Grades 7-12  ",20300 ,Education
SEDF 20400 - Adolescent Development ,SEDF,SEDF 20400 , Adolescent Development ,20400 ,Education
SEDF 20500 - Educational Psychology: Applications in Grades 7-12 ,SEDF,SEDF 20500 , Educational Psychology: Applications in Grades 7-12 ,20500 ,Education
SEDF 20600 - Assessment of the Teaching and Learning Process in Grades 7-12 ,SEDF,SEDF 20600 , Assessment of the Teaching and Learning Process in Grades 7-12 ,20600 ,Education
SPED 30800 - Teaching Students with Special Needs in Inclusive Settings ,SPED,SPED 30800 , Teaching Students with Special Needs in Inclusive Settings ,30800 ,Education
ECC 30000 - Early Childhood Programs and Curricular Frameworks ,ECC,ECC 30000 , Early Childhood Programs and Curricular Frameworks ,30000 ,Education
ECC 30100 - Field work/Internship 1 ,ECC,ECC 30100 , Field work/Internship 1 ,30100 ,Education
"ECC 30100, 30200, 30300 - Field work/Internships ",ECC,"ECC 30100, 30200, 30300 ", Field work/Internships ,"30100, 30200, 30300 ",Education
ECC 30200 - Field work/Internship 2 ,ECC,ECC 30200 , Field work/Internship 2 ,30200 ,Education
ECC 30300 - Field work/Internship 3 ,ECC,ECC 30300 , Field work/Internship 3 ,30300 ,Education
ECC 30400 - Creative Arts and Play-Based Learning ,ECC,ECC 30400 , Creative Arts and Play-Based Learning ,30400 ,Education
ECC 30500 - Language and Literacy for Children of Diverse Backgrounds (B-Prekindergarten) ,ECC,ECC 30500 , Language and Literacy for Children of Diverse Backgrounds (B-Prekindergarten) ,30500 ,Education
"ECC 30600 - Language and Literacy for Children of Diverse Backgrounds, Kindergarten through 2nd Grade ",ECC,ECC 30600 ," Language and Literacy for Children of Diverse Backgrounds, Kindergarten through 2nd Grade ",30600 ,Education
ECC 30800 - Inclusionary Practices and Teaching Children of Diverse Backgrounds ,ECC,ECC 30800 , Inclusionary Practices and Teaching Children of Diverse Backgrounds ,30800 ,Education
ECC 31000 - Mathematics in Early Childhood ,ECC,ECC 31000 , Mathematics in Early Childhood ,31000 ,Education
ECC 31100 - Early Childhood Science and Inquiry-Based Learning ,ECC,ECC 31100 , Early Childhood Science and Inquiry-Based Learning ,31100 ,Education
"ECC 31400 - Health, Family, and Community Partnerships ",ECC,ECC 31400 ," Health, Family, and Community Partnerships ",31400 ,Education
ECC 40100 - Student Teaching ,ECC,ECC 40100 , Student Teaching ,40100 ,Education
"ECF 20000 - Human Development and Theories of Learning, Prenatal-Age 8 ",ECF,ECF 20000 ," Human Development and Theories of Learning, Prenatal-Age 8 ",20000 ,Education
ECF 20100 - Social and Historical Foundations of Early Childhood Care and Education ,ECF,ECF 20100 , Social and Historical Foundations of Early Childhood Care and Education ,20100 ,Education
"ECF 40000 - Assessment in Early Childhood, Birth through 2nd Grade ",ECF,ECF 40000 ," Assessment in Early Childhood, Birth through 2nd Grade ",40000 ,Education
EDUC 25000 - Introduction to Urban Education: Topics and Issues around Diversity and Equity  ,EDUC,EDUC 25000 , Introduction to Urban Education: Topics and Issues around Diversity and Equity  ,25000 ,Education
QSTAP 40080 - The Art of Effective Teaching ,QSTAP,QSTAP 40080 , The Art of Effective Teaching ,40080 ,Education
QSTAP 40180 - Developmental Reading ,QSTAP,QSTAP 40180 , Developmental Reading ,40180 ,Education
QSTAP 40680 - Mathematics Teaching and Learning in Elementary School ,QSTAP,QSTAP 40680 , Mathematics Teaching and Learning in Elementary School ,40680 ,Education
QSTAP 40780 - The Arts: An Interdisciplinary Learning Experience ,QSTAP,QSTAP 40780 , The Arts: An Interdisciplinary Learning Experience ,40780 ,Education
QSTAP 41080 - Literacy Across the Content Areas ,QSTAP,QSTAP 41080 , Literacy Across the Content Areas ,41080 ,Education
"QSTAP 41280 - Teaching Social Studies through Literature, the Arts, and Technology in Elementary Schools ",QSTAP,QSTAP 41280 ," Teaching Social Studies through Literature, the Arts, and Technology in Elementary Schools ",41280 ,Education
QSTAP 41480 - Teaching Science in Elementary Schools ,QSTAP,QSTAP 41480 , Teaching Science in Elementary Schools ,41480 ,Education
QSTAP 41580 - Student Teaching ,QSTAP,QSTAP 41580 , Student Teaching ,41580 ,Education
QSTB 20280 - Child Growth and Development ,QSTB,QSTB 20280 , Child Growth and Development ,20280 ,Education
QSTB 40380 - Social Foundations of Urban Education ,QSTB,QSTB 40380 , Social Foundations of Urban Education ,40380 ,Education
QSTB 41380 - Psychology of Teaching and Learning ,QSTB,QSTB 41380 , Psychology of Teaching and Learning ,41380 ,Education
QSTP 30000 - Fieldwork I: Fieldwork for Child Development and Developmental Reading ,QSTP,QSTP 30000 , Fieldwork I: Fieldwork for Child Development and Developmental Reading ,30000 ,Education
"QSTP 30100 - Fieldwork II: Fieldwork for Literacy Across the Content Areas and Teaching Social Studies through Literature, the Arts, and Technology in Elementary Schools ",QSTP,QSTP 30100 ," Fieldwork II: Fieldwork for Literacy Across the Content Areas and Teaching Social Studies through Literature, the Arts, and Technology in Elementary Schools ",30100 ,Education
QSTP 30200 - Fieldwork III: Fieldwork for Mathematics Teaching and Learning in Elementary School and Psychology of Teaching and Learning ,QSTP,QSTP 30200 , Fieldwork III: Fieldwork for Mathematics Teaching and Learning in Elementary School and Psychology of Teaching and Learning ,30200 ,Education
DANEP 30200 - Theory and Practice of Teaching Dance (pre-K-12) ,DANEP,DANEP 30200 , Theory and Practice of Teaching Dance (pre-K-12) ,30200 ,Education
"SEDCP 45600 - Student Teaching in Dance, Grades Pre-K-12 ",SEDCP,SEDCP 45600 ," Student Teaching in Dance, Grades Pre-K-12 ",45600 ,Education
HED 20100 - Women and Health ,HED,HED 20100 , Women and Health ,20100 ,Education
HED 30500 - Sex Education ,HED,HED 30500 , Sex Education ,30500 ,Education
HED 30600 - Drugs and Drug Dependencies ,HED,HED 30600 , Drugs and Drug Dependencies ,30600 ,Education
HED 48000 - Independent Study in Health Education ,HED,HED 48000 , Independent Study in Health Education ,48000 ,Education
HEDP 31400 - Health Education for the Classroom Teacher ,HEDP,HEDP 31400 , Health Education for the Classroom Teacher ,31400 ,Education
EDUC 49000 - Honors Course in Educational Research ,EDUC,EDUC 49000 , Honors Course in Educational Research ,49000 ,Education
ENGL 00200SL - Reading II ,ENGL,ENGL 00200SL , Reading II ,00200SL ,English
ENGL 00400SL - English for Bilingual Students II ,ENGL,ENGL 00400SL , English for Bilingual Students II ,00400SL ,English
ENGL 00500SL - English for Bilingual Students III ,ENGL,ENGL 00500SL , English for Bilingual Students III ,00500SL ,English
ENGL 22000 - Introduction to Writing about Literature  ,ENGL,ENGL 22000 , Introduction to Writing about Literature  ,22000 ,English
ENGL 25000 - Topics in Literature ,ENGL,ENGL 25000 , Topics in Literature ,25000 ,English
ENGL 25100 - Topics in Literature ,ENGL,ENGL 25100 , Topics in Literature ,25100 ,English
ENGL 25200 - Introduction to Literary Studies ,ENGL,ENGL 25200 , Introduction to Literary Studies ,25200 ,English
ENGL 25400 - Survey of British Literature II: the Eighteenth Century to the Present ,ENGL,ENGL 25400 , Survey of British Literature II: the Eighteenth Century to the Present ,25400 ,English
ENGL 25500 - Topics in Non-European Literary Traditions  ,ENGL,ENGL 25500 , Topics in Non-European Literary Traditions  ,25500 ,English
ENGL 25600 - Topics in Literature by Non-European Americans  ,ENGL,ENGL 25600 , Topics in Literature by Non-European Americans  ,25600 ,English
ENGL 25800 - Topics in Literature by Women  ,ENGL,ENGL 25800 , Topics in Literature by Women  ,25800 ,English
ENGL 35800 - Topics in Literature ,ENGL,ENGL 35800 , Topics in Literature ,35800 ,English
ENGL 30200 - Introduction to Literary Analysis  ,ENGL,ENGL 30200 , Introduction to Literary Analysis  ,30200 ,English
ENGL 30300 - Western Literary Backgrounds of British and American Literature ,ENGL,ENGL 30300 , Western Literary Backgrounds of British and American Literature ,30300 ,English
ENGL 30500 - Studies in Children's Literature ,ENGL,ENGL 30500 , Studies in Children's Literature ,30500 ,English
ENGL 30600 - Literary Theory  ,ENGL,ENGL 30600 , Literary Theory  ,30600 ,English
ENGL 31700 - Topics in Non- European Literary Traditions  ,ENGL,ENGL 31700 , Topics in Non- European Literary Traditions  ,31700 ,English
ENGL 31800 - Topics in Literature of Non-European Americans  ,ENGL,ENGL 31800 , Topics in Literature of Non-European Americans  ,31800 ,English
ENGL 31900 - Topics in Literature by Women  ,ENGL,ENGL 31900 , Topics in Literature by Women  ,31900 ,English
ENGL 32000 - Multi-Ethnic American Literature  ,ENGL,ENGL 32000 , Multi-Ethnic American Literature  ,32000 ,English
ENGL 32100 - Topics in African American Literature ,ENGL,ENGL 32100 , Topics in African American Literature ,32100 ,English
ENGL 32200 - Topics in Gender and Sexuality in Literature ,ENGL,ENGL 32200 , Topics in Gender and Sexuality in Literature ,32200 ,English
ENGL 32300 - Topics in Asian American Literature ,ENGL,ENGL 32300 , Topics in Asian American Literature ,32300 ,English
ENGL 32400 - Topics in Native American Literature ,ENGL,ENGL 32400 , Topics in Native American Literature ,32400 ,English
ENGL 32500 - Post-Colonial Literature in English  ,ENGL,ENGL 32500 , Post-Colonial Literature in English  ,32500 ,English
ENGL 32600 - Topics in US Latina/o Literature ,ENGL,ENGL 32600 , Topics in US Latina/o Literature ,32600 ,English
ENGL 32700 - Topics in Caribbean Literature  ,ENGL,ENGL 32700 , Topics in Caribbean Literature  ,32700 ,English
ENGL 32900 - Topics in Cross-Cultural Literature in English  ,ENGL,ENGL 32900 , Topics in Cross-Cultural Literature in English  ,32900 ,English
ENGL 33000 - Sociolinguistics ,ENGL,ENGL 33000 , Sociolinguistics ,33000 ,English
ENGL 33100 - The Structure of Modern English ,ENGL,ENGL 33100 , The Structure of Modern English ,33100 ,English
ENGL 33200 - History of the English Language  ,ENGL,ENGL 33200 , History of the English Language  ,33200 ,English
ENGL 33300 - Topics in Language and Linguistics ,ENGL,ENGL 33300 , Topics in Language and Linguistics ,33300 ,English
ENGL 33400 - Beowulf and Other Early Texts ,ENGL,ENGL 33400 , Beowulf and Other Early Texts ,33400 ,English
ENGL 33500 - Chaucer ,ENGL,ENGL 33500 , Chaucer ,33500 ,English
ENGL 33600 - Medieval Literature (1100-1500) ,ENGL,ENGL 33600 , Medieval Literature (1100-1500) ,33600 ,English
ENGL 33700 - Literary Aspects of Folklore ,ENGL,ENGL 33700 , Literary Aspects of Folklore ,33700 ,English
ENGL 33800 - Survey of British Literature I: Early Texts To the Eighteenth Century ,ENGL,ENGL 33800 , Survey of British Literature I: Early Texts To the Eighteenth Century ,33800 ,English
ENGL 33900 - Survey of British Literature II: The Eighteenth Century to the Present ,ENGL,ENGL 33900 , Survey of British Literature II: The Eighteenth Century to the Present ,33900 ,English
ENGL 34000 - History of Rhetoric ,ENGL,ENGL 34000 , History of Rhetoric ,34000 ,English
ENGL 34100 - Rhetorical Principles of Expository Writing ,ENGL,ENGL 34100 , Rhetorical Principles of Expository Writing ,34100 ,English
ENGL 34200 - Topics in Rhetoric ,ENGL,ENGL 34200 , Topics in Rhetoric ,34200 ,English
ENGL 34600 - Discourse Analysis ,ENGL,ENGL 34600 , Discourse Analysis ,34600 ,English
ENGL 34700 - Language and Ethnicity ,ENGL,ENGL 34700 , Language and Ethnicity ,34700 ,English
ENGL 34800 - English Across the World ,ENGL,ENGL 34800 , English Across the World ,34800 ,English
ENGL 35000 - Renaissance Drama ,ENGL,ENGL 35000 , Renaissance Drama ,35000 ,English
ENGL 35100 - The Age of Elizabeth I ,ENGL,ENGL 35100 , The Age of Elizabeth I ,35100 ,English
ENGL 35200 - Shakespeare Survey ,ENGL,ENGL 35200 , Shakespeare Survey ,35200 ,English
ENGL 35300 - Shakespeare I ,ENGL,ENGL 35300 , Shakespeare I ,35300 ,English
ENGL 35400 - Shakespeare II ,ENGL,ENGL 35400 , Shakespeare II ,35400 ,English
ENGL 35500 - Topics in Shakespeare  ,ENGL,ENGL 35500 , Topics in Shakespeare  ,35500 ,English
ENGL 35900 - Topics in Seventeenth-Century Literature ,ENGL,ENGL 35900 , Topics in Seventeenth-Century Literature ,35900 ,English
ENGL 36000 - The 17th Century ,ENGL,ENGL 36000 , The 17th Century ,36000 ,English
ENGL 36100 - Milton ,ENGL,ENGL 36100 , Milton ,36100 ,English
ENGL 36200 - English Drama of Restoration and 18th Century ,ENGL,ENGL 36200 , English Drama of Restoration and 18th Century ,36200 ,English
ENGL 36300 - Topics in Milton ,ENGL,ENGL 36300 , Topics in Milton ,36300 ,English
ENGL 36400 - The Age of Satire ,ENGL,ENGL 36400 , The Age of Satire ,36400 ,English
ENGL 36500 - The Later 18th Century ,ENGL,ENGL 36500 , The Later 18th Century ,36500 ,English
ENGL 36800 - The 18th Century English Novel ,ENGL,ENGL 36800 , The 18th Century English Novel ,36800 ,English
ENGL 36900 - The 19th Century English Novel ,ENGL,ENGL 36900 , The 19th Century English Novel ,36900 ,English
ENGL 37100 - Topics in Romantic Literature ,ENGL,ENGL 37100 , Topics in Romantic Literature ,37100 ,English
ENGL 37200 - Romantic Poetry ,ENGL,ENGL 37200 , Romantic Poetry ,37200 ,English
ENGL 37300 - Victorian Literature  ,ENGL,ENGL 37300 , Victorian Literature  ,37300 ,English
ENGL 37400 - 20th and 21st Century British and Irish Poetry ,ENGL,ENGL 37400 , 20th and 21st Century British and Irish Poetry ,37400 ,English
ENGL 37500 - 20th and 21st Century American Poetry ,ENGL,ENGL 37500 , 20th and 21st Century American Poetry ,37500 ,English
ENGL 37600 - 20th and 21st Century British and Irish Fiction ,ENGL,ENGL 37600 , 20th and 21st Century British and Irish Fiction ,37600 ,English
ENGL 37700 - 20th and 21st Century American Fiction ,ENGL,ENGL 37700 , 20th and 21st Century American Fiction ,37700 ,English
ENGL 37800 - 20th and 21st Century British and Irish Drama ,ENGL,ENGL 37800 , 20th and 21st Century British and Irish Drama ,37800 ,English
ENGL 37900 - 20th and 21st Century American Drama ,ENGL,ENGL 37900 , 20th and 21st Century American Drama ,37900 ,English
ENGL 38000 - Irish Literary Renaissance ,ENGL,ENGL 38000 , Irish Literary Renaissance ,38000 ,English
ENGL 38200 - Topics in Medieval Literature ,ENGL,ENGL 38200 , Topics in Medieval Literature ,38200 ,English
ENGL 38300 - Topics in Renaissance Literature ,ENGL,ENGL 38300 , Topics in Renaissance Literature ,38300 ,English
